Date,Exchange_Rate
2018-01,7.34477
2018-01,7.34746
2018-01,7.34126
2018-01,7.34148
2018-01,7.34406
2018-01,7.34406
2018-01,7.34406
2018-01,7.34077
2018-01,7.33935
2018-01,7.34239
2018-01,7.34201
2018-01,7.33984
2018-01,7.33984
2018-01,7.33984
2018-01,7.33846
2018-01,7.33785
2018-01,7.33931
2018-01,7.34071
2018-01,7.34111
2018-01,7.34111
2018-01,7.34111
2018-01,7.34189
2018-01,7.34445
2018-01,7.34736
2018-01,7.34868
2018-01,7.34860
2018-01,7.34860
2018-01,7.34860
2018-01,7.34651
2018-01,7.34993
2018-01,7.35246
2018-02,7.34864
2018-02,7.34737
2018-02,7.34737
2018-02,7.34737
2018-02,7.35044
2018-02,7.35203
2018-02,7.35273
2018-02,7.35714
2018-02,7.35779
2018-02,7.35779
2018-02,7.35779
2018-02,7.35640
2018-02,7.35883
2018-02,7.35963
2018-02,7.35764
2018-02,7.35801
2018-02,7.35801
2018-02,7.35801
2018-02,7.36064
2018-02,7.36612
2018-02,7.36476
2018-02,7.36952
2018-02,7.36797
2018-02,7.36797
2018-02,7.36797
2018-02,7.37023
2018-02,7.37298
2018-02,7.37757
2018-03,7.37651
2018-03,7.37825
2018-03,7.37825
2018-03,7.37825
2018-03,7.37723
2018-03,7.37867
2018-03,7.38002
2018-03,7.38534
2018-03,7.38842
2018-03,7.38842
2018-03,7.38842
2018-03,7.39490
2018-03,7.39983
2018-03,7.40006
2018-03,7.39907
2018-03,7.40066
2018-03,7.40066
2018-03,7.40066
2018-03,7.40006
2018-03,7.40099
2018-03,7.39972
2018-03,7.39989
2018-03,7.39761
2018-03,7.39761
2018-03,7.39761
2018-03,7.39870
2018-03,7.39778
2018-03,7.39919
2018-03,7.39919
2018-03,7.39919
2018-03,7.39919
2018-04,7.39919
2018-04,7.40398
2018-04,7.40192
2018-04,7.40348
2018-04,7.40319
2018-04,7.40095
2018-04,7.40095
2018-04,7.40095
2018-04,7.39911
2018-04,7.40214
2018-04,7.40181
2018-04,7.40113
2018-04,7.39977
2018-04,7.39977
2018-04,7.39977
2018-04,7.40189
2018-04,7.40082
2018-04,7.40499
2018-04,7.40171
2018-04,7.40069
2018-04,7.40069
2018-04,7.40069
2018-04,7.40120
2018-04,7.40240
2018-04,7.40478
2018-04,7.40187
2018-04,7.40870
2018-04,7.40870
2018-04,7.40870
2018-04,7.41205
2018-05,7.41205
2018-05,7.41487
2018-05,7.41326
2018-05,7.41529
2018-05,7.41529
2018-05,7.41529
2018-05,7.41600
2018-05,7.41825
2018-05,7.42103
2018-05,7.42502
2018-05,7.42315
2018-05,7.42315
2018-05,7.42315
2018-05,7.42458
2018-05,7.42243
2018-05,7.42884
2018-05,7.43436
2018-05,7.44352
2018-05,7.44352
2018-05,7.44352
2018-05,7.44540
2018-05,7.45413
2018-05,7.46214
2018-05,7.46608
2018-05,7.47266
2018-05,7.47266
2018-05,7.47266
2018-05,7.47524
2018-05,7.48300
2018-05,7.48295
2018-05,7.48595
2018-06,7.48448
